No,CATEGORY,shortDesc,description,finish,featured,fallback_image,SKU,Name,Dimensions,Weight,Stock,ImageUrl
1319,,,,Semi-Gloss Polish,FALSE,,PJA.31.4,PW BACKREST,61 Cm + 61 Cm + 70 Cm,333,0,https://drive.google.com/uc?export=view&id=1c73Yq5qCJBYqklKp9NWaZsG3qD02zCQP
1320,,,,Semi-Gloss Polish,FALSE,,ASP.4.25,PEDESTAL SEMI POLISH,28 Cm + 27 Cm + 165 Cm,173,0,https://drive.google.com/uc?export=view&id=1wOJ7dt2wQy93sVDXSzWS7cx64iQdgM0Q
1321,,,,Semi-Gloss Polish,FALSE,,ASP.3.25,PEDESTAL SEMI POLISH,31 Cm + 28 Cm + 112 Cm,154,0,https://drive.google.com/uc?export=view&id=1Ej_qQWYvkHklLLxKQm3iDlJkNsfi-qZi
1322,,,,Semi-Gloss Polish,FALSE,,ASP.8.25,PEDESTAL SEMI POLISH,32 Cm + 25 Cm + 87 Cm,127,0,https://drive.google.com/uc?export=view&id=1aty4g6XSM_2LG2RtXsYn897SvPcXihxn
1323,,,,Semi-Gloss Polish,FALSE,,ASP.7.25,PEDESTAL SEMI POLISH,30 Cm + 26 Cm + 82 Cm,92,0,https://drive.google.com/uc?export=view&id=1PMrFsxIVaiouvcrdOPwO9tUWaMwPecej
1324,Furniture,,,Semi-Gloss Polish,FALSE,,ASP.6.25,PEDESTAL SEMI POLISH,30 Cm + 26 Cm + 53 Cm,73,1,https://drive.google.com/uc?export=view&id=1x1975fWe52_g50hIvGhZoFmS-EuZP0Jc
1325,Furniture,,,Semi-Gloss Polish,FALSE,,ASP.5.25,PEDESTAL SEMI POLISH,26 Cm + 20 Cm + 59 Cm,61,1,https://drive.google.com/uc?export=view&id=1oS3hspK2p96CJQUjGg-uywLysdDmdA_0
1326,Seater,,,Semi-Gloss Polish,FALSE,,BARSTOOL,BAR STOOL (PO),40 Cm + 39 Cm + 62.5 Cm,20,1,https://drive.google.com/uc?export=view&id=14-MPvAwbIyG6yNUAqSCehSOeWtUQRtsP
1327,Furniture,,,Semi-Gloss Polish,FALSE,,PJA.34.20,BAR TABLE STAND,30 Cm + 30 Cm + 106.5 Cm,70,1,https://drive.google.com/uc?export=view&id=1kIus6EFefbvuZrX1F23oxk8FxPOLcpai
1328,Furniture,,,Semi-Gloss Polish,FALSE,,BSTN,BASESTONE (PO),10 Cm + 10 Cm + 20 Cm,10,1,https://drive.google.com/uc?export=view&id=1M5ArRg4whXn_-412BtDDK1Qyzbdt4mWs
1329,,,,Semi-Gloss Polish,FALSE,,PJA.33.50,STOOL FULL POLISH,39 Cm + 37 Cm + 40 Cm,113,0,https://drive.google.com/uc?export=view&id=1buOyWRQanJJ8cOrC7q9ZbJghAEGQagZQ
1330,,,,Semi-Gloss Polish,FALSE,,PJA.33.51,STOOL FULL POLISH,41 Cm + 35 Cm + 45 Cm,105,0,https://drive.google.com/uc?export=view&id=1zlhniF_sbvhv3oR61V33kGx4zq7VX5fy
